path_id,step,hour,currency,architecture,lcu_usd,eth_usd,oracle_ratio_error,source_disagreement,dex_discount,annual_rate,debt_ceiling,liquidation_ratio,paused,bad_debt_cumulative,credit_cumulative
2,44,270,ARS,Static single oracle,0.998217266,0.857828533,-0.0325773591,0.241396138,0.213433834,0.08,1,1.5,0,0,0.0796816175
0,45,276,ARS,Static single oracle,0.995698316,0.936127451,-0.0309019875,0.245108784,0.21066902,0.08,1,1.5,0,0,0.0813620488
1,45,276,ARS,Static single oracle,0.961666081,0.907448679,-0.0559514444,0.247429252,0.230906486,0.08,1,1.5,0,0,0.0813785039
2,45,276,ARS,Static single oracle,0.998948449,0.862486619,-0.0326502008,0.236043583,0.214087687,0.08,1,1.5,0,0,0.0814237962
0,46,282,ARS,Static single oracle,0.995439627,0.963498298,-0.0315293858,0.252848541,0.211622167,0.08,1,1.5,0,0,0.0831093537
1,46,282,ARS,Static single oracle,0.960200585,0.880353733,-0.0540482666,0.253253442,0.232020794,0.08,1,1.5,0,0,0.0831020043
2,46,282,ARS,Static single oracle,0.997924066,0.835479406,-0.0325318988,0.193670999,0.215381903,0.08,1,1.5,0,0,0.0831786947
0,47,288,ARS,Static single oracle,0.995722813,0.980062796,-0.0350523097,0.273865585,0.212323337,0.08,1,1.5,0,0,0.0848473525
1,47,288,ARS,Static single oracle,0.96372363,0.87946299,-0.0483983219,0.263799071,0.232194642,0.08,1,1.5,0,0,0.0848169619
2,47,288,ARS,Static single oracle,0.995500991,0.840343607,-0.0338148189,0.219744816,0.217494422,0.08,1,1.5,0,0,0.0849484586
0,48,294,ARS,Static single oracle,0.997447199,0.961231642,-0.0350597792,0.264311372,0.213009516,0.08,1,1.5,0,0,0.0865853384
1,48,294,ARS,Static single oracle,0.961156465,0.855422221,-0.0453175249,0.22461301,0.234096222,0.08,1,1.5,0,0,0.0865693306
2,48,294,ARS,Static single oracle,0.996395167,0.832853615,-0.037987782,0.225935864,0.217894169,0.08,1,1.5,0,0,0.0866813631
0,49,300,ARS,Static single oracle,0.996065262,0.96768893,-0.0353432954,0.281511861,0.214555659,0.08,1,1.5,0,0,0.088339694
1,49,300,ARS,Static single oracle,0.962129212,0.857088075,-0.0438596435,0.220859538,0.234217833,0.08,1,1.5,0,0,0.0882920895
2,49,300,ARS,Static single oracle,0.999318871,0.826787712,-0.036028644,0.211651143,0.218326155,0.08,1,1.5,0,0,0.0884176659
0,50,306,ARS,Static single oracle,0.997811365,0.959941561,-0.0335840847,0.24444143,0.215184033,0.08,1,1.5,0,0,0.0900802464
1,50,306,ARS,Static single oracle,0.961624513,0.887557164,-0.0428524849,0.285219452,0.234680254,0.08,1,1.5,0,0,0.0900229183
2,50,306,ARS,Static single oracle,1.00116784,0.834192083,-0.0333856047,0.250169752,0.218799005,0.08,1,1.5,0,0,0.0901585639
0,51,312,ARS,Static single oracle,0.99675518,0.960321658,-0.0351721225,0.230007798,0.216445165,0.08,1,1.5,0,0,0.09183092
1,51,312,ARS,Static single oracle,0.961675005,0.881328466,-0.0464557547,0.283254916,0.234723331,0.08,1,1.5,0,0,0.0917412106
2,51,312,ARS,Static single oracle,1.00279583,0.841596931,-0.0295542889,0.249843626,0.219329258,0.08,1,1.5,0,0,0.0919061446
0,52,318,ARS,Static single oracle,0.997225615,0.969330218,-0.0366677603,0.261502839,0.216958283,0.08,1,1.5,0,0,0.0935661135
1,52,318,ARS,Static single oracle,0.961924884,0.900039355,-0.0435222165,0.329088864,0.234810875,0.08,1,1.5,0,0,0.0934645509
2,52,318,ARS,Static single oracle,0.999275414,0.858400415,-0.0341866678,0.283728706,0.222004577,0.08,1,1.5,0,0,0.0936884707
0,53,324,ARS,Static single oracle,0.994288508,0.988148353,-0.038461032,0.276341473,0.219304419,0.08,1,1.5,0,0,0.0953339611
1,53,324,ARS,Static single oracle,0.965366218,0.906198128,-0.0409564055,0.331484562,0.234934375,0.08,1,1.5,0,0,0.0951923186
2,53,324,ARS,Static single oracle,0.996854406,0.856518212,-0.0397536087,0.297085801,0.223755681,0.08,1,1.5,0,0,0.0954476905
0,54,330,ARS,Static single oracle,0.993927621,0.985274422,-0.0407987027,0.286150916,0.219854228,0.08,1,1.5,0,0,0.0970663926
1,54,330,ARS,Static single oracle,0.962648552,0.910541499,-0.0432448325,0.303745755,0.236798242,0.08,1,1.5,0,0,0.0969501548
2,54,330,ARS,Static single oracle,0.996447067,0.8574215,-0.0422157525,0.293437372,0.224103671,0.08,1,1.5,0,0,0.0971782206
0,55,336,ARS,Static single oracle,0.992660575,0.983219196,-0.0412317234,0.284649745,0.220964031,0.08,1,1.5,0,0,0.098809108
1,55,336,ARS,Static single oracle,0.963580136,0.903596108,-0.0423242491,0.304074579,0.236779038,0.08,1,1.5,0,0,0.0986755608
2,55,336,ARS,Static single oracle,0.970370992,0.863075554,-0.0705568452,0.319861555,0.241700004,0.08,1,1.5,0,0,0.0991669543
0,56,342,ARS,Static single oracle,0.994630228,0.998333895,-0.0399313171,0.290377796,0.221241356,0.08,1,1.5,0,0,0.100538648
1,56,342,ARS,Static single oracle,0.961959792,0.915656601,-0.0442614031,0.298243355,0.237794729,0.08,1,1.5,0,0,0.100417915
2,56,342,ARS,Static single oracle,0.969468817,0.83605223,-0.0681630288,0.283483445,0.242131974,0.08,1,1.5,0,0,0.100859297
0,57,348,ARS,Static single oracle,0.996292142,0.985626788,-0.0355158903,0.254202177,0.221594825,0.08,1,1.5,0,0,0.102275841
1,57,348,ARS,Static single oracle,0.961986775,0.899888083,-0.047799037,0.278606202,0.237625675,0.08,1,1.5,0,0,0.102133901
2,57,348,ARS,Static single oracle,0.968019912,0.850403653,-0.0674200005,0.302387516,0.242888985,0.08,1,1.5,0,0,0.102559558
0,58,354,ARS,Static single oracle,0.994600995,0.97876292,-0.037049326,0.252013396,0.222999104,0.08,1,1.5,0,0,0.104031
1,58,354,ARS,Static single oracle,0.962873066,0.909341474,-0.0440536949,0.280360576,0.237527058,0.08,1,1.5,0,0,0.103856326
2,58,354,ARS,Static single oracle,0.969286679,0.858668231,-0.0658849412,0.310226917,0.242664645,0.08,1,1.5,0,0,0.104244787
0,59,360,ARS,Static single oracle,0.96762257,0.988960805,-0.0634649199,0.292286642,0.241495198,0.08,1,1.5,0,0,0.1060455
1,59,360,ARS,Static single oracle,0.968422134,0.896503695,-0.0392693107,0.268916306,0.237511868,0.08,1,1.5,0,0,0.105587011
2,59,360,ARS,Static single oracle,0.967873932,0.870476323,-0.0522865858,0.303489555,0.243577496,0.08,1,1.5,0,0,0.105970531
0,60,366,ARS,Static single oracle,0.965065735,0.977197462,-0.0682789575,0.288375114,0.243097239,0.08,1,1.5,0,0,0.107757838
1,60,366,ARS,Static single oracle,0.961217314,0.909859892,-0.0450488683,0.276209955,0.242220431,0.08,1,1.5,0,0,0.107397669
2,60,366,ARS,Static single oracle,0.964020566,0.846389619,-0.0551777958,0.311044,0.245971957,0.08,1,1.5,0,0,0.107721467
0,61,372,ARS,Static single oracle,0.965914237,0.97349944,-0.0692499431,0.29996666,0.242899433,0.08,1,1.5,0,0,0.109437406
1,61,372,ARS,Static single oracle,0.959201194,0.911819369,-0.0471717329,0.30256367,0.243209405,0.08,1,1.5,0,0,0.109139968
2,61,372,ARS,Static single oracle,0.965409971,0.849952851,-0.0520791055,0.297520818,0.245735669,0.08,1,1.5,0,0,0.109430124
0,62,378,ARS,Static single oracle,0.965961473,0.965584101,-0.0676770725,0.297020262,0.242719201,0.08,1,1.5,0,0,0.111119618
1,62,378,ARS,Static single oracle,0.961247948,0.957129953,-0.0459563763,0.340384274,0.242826708,0.08,1,1.5,0,0,0.110859119
2,62,378,ARS,Static single oracle,0.962920241,0.837444667,-0.0558112031,0.276519445,0.247070257,0.08,1,1.5,0,0,0.111163186
0,63,384,ARS,Static single oracle,0.963706266,0.949101156,-0.0545093514,0.256089238,0.244219216,0.08,1,1.5,0,0,0.112852016
1,63,384,ARS,Static single oracle,0.957928113,0.938666403,-0.0551579485,0.343942389,0.244502003,0.08,1,1.5,0,0,0.112603775
2,63,384,ARS,Static single oracle,0.960049899,0.829695734,-0.0571847589,0.256273505,0.24854227,0.08,1,1.5,0,0,0.112898666
0,64,390,ARS,Static single oracle,0.965658767,0.93864386,-0.0496493168,0.253615921,0.244211956,0.08,1,1.5,0,0,0.11456483
1,64,390,ARS,Static single oracle,0.957864338,0.931049158,-0.0485596932,0.31608315,0.244035845,0.08,1,1.5,0,0,0.114319255
